member_id||congress||chamber||party||state||district
S001216||116||house||D||WA||8
S001183||116||house||R||AZ||6
S001157||116||house||D||GA||13
S001189||116||house||R||GA||8
S000185||116||house||D||VA||3
S000244||116||house||R||WI||5
S000248||116||house||D||NY||15
S001185||116||house||D||AL||7
S001206||116||house||D||FL||27
S000344||116||house||D||CA||30
S001207||116||house||D||NJ||11
S000364||116||house||R||IL||15
S001148||116||house||R||ID||2
S001165||116||house||D||NJ||8
S001208||116||house||D||MI||8
S001172||116||house||R||NE||3
S000510||116||house||D||WA||9
S000522||116||house||R||NJ||4
S001195||116||house||R||MO||8
S001199||116||house||R||PA||11
S001200||116||house||D||FL||9
S001209||116||house||D||VA||7
S001210||116||house||R||FL||15
S001175||116||house||D||CA||14
S001211||116||house||D||AZ||9
S001212||116||house||R||MN||8
S001196||116||house||R||NY||21
S001213||116||house||R||WI||1
S001214||116||house||R||FL||17
S001215||116||house||D||MI||11
S001192||116||house||R||UT||2
S001187||116||house||R||OH||15
S001201||116||house||D||NY||3
S001193||116||house||D||CA||15
T000472||116||house||D||CA||41
T000479||116||house||R||TX||3
T000467||116||house||R||PA||15
T000193||116||house||D||MS||2
T000460||116||house||D||CA||5
T000238||116||house||R||TX||13
T000165||116||house||R||WI||7
T000480||116||house||R||SC||4
T000470||116||house||R||CO||3
T000468||116||house||D||NV||1
T000481||116||house||D||MI||13
T000469||116||house||D||NY||20
T000474||116||house||D||CA||35
T000484||116||house||D||NM||2
T000482||116||house||D||MA||3
T000483||116||house||D||MD||6
T000463||116||house||R||OH||10
U000040||116||house||D||IL||14
U000031||116||house||R||MI||6
V000133||116||house||R||NJ||2
V000130||116||house||D||CA||51
V000131||116||house||D||TX||33
V000132||116||house||D||TX||34
V000081||116||house||D||NY||7
V000108||116||house||D||IN||1
W000812||116||house||R||MO||2
W000798||116||house||R||MI||7
W000791||116||house||R||OR||2
W000819||116||house||R||NC||6
W000813||116||house||R||IN||2
W000823||116||house||R||FL||6
W000797||116||house||D||FL||23
W000187||116||house||D||CA||43
W000824||116||house||R||KS||2
W000822||116||house||D||NJ||12
W000814||116||house||R||TX||14
W000806||116||house||R||FL||11
W000800||116||house||D||VT||At-Large
W000815||116||house||R||OH||2
W000821||116||house||R||AR||4
W000825||116||house||D||VA||10
W000826||116||house||D||PA||7
W000816||116||house||R||TX||25
W000795||116||house||R||SC||2
W000808||116||house||D||FL||24
W000804||116||house||R||VA||1
W000809||116||house||R||AR||3
W000810||116||house||R||GA||7
W000827||116||house||R||TX||6
Y000062||116||house||D||KY||3
Y000065||116||house||R||FL||3
Y000033||116||house||R||AK||At-Large
Z000017||116||house||R||NY||1
A000360||116||senate||R||TN||
B001230||116||senate||D||WI||
B001261||116||senate||R||WY||
B001267||116||senate||D||CO||
B001243||116||senate||R||TN||
B001277||116||senate||D||CT||
B000575||116||senate||R||MO||
B001288||116||senate||D||NJ||
B001236||116||senate||R||AR||
B001310||116||senate||R||IN||
B000944||116||senate||D||OH||
B001135||116||senate||R||NC||
C000127||116||senate||D||WA||
C001047||116||senate||R||WV||
C000141||116||senate||D||MD||
C000174||116||senate||D||DE||
C001070||116||senate||D||PA||
C001075||116||senate||R||LA||
C001035||116||senate||R||ME||
C001088||116||senate||D||DE||
C001056||116||senate||R||TX||
C001113||116||senate||D||NV||
C001095||116||senate||R||AR||
C001096||116||senate||R||ND||
C000880||116||senate||R||ID||
C001098||116||senate||R||TX||
D000618||116||senate||R||MT||
D000622||116||senate||D||IL||
D000563||116||senate||D||IL||
E000285||116||senate||R||WY||
E000295||116||senate||R||IA||
F000062||116||senate||D||CA||
F000463||116||senate||R||NE||
G000562||116||senate||R||CO||
G000555||116||senate||D||NY||
G000359||116||senate||R||SC||
G000386||116||senate||R||IA||
H001075||116||senate||D||CA||
H001076||116||senate||D||NH||
H001089||116||senate||R||MO||
H001046||116||senate||D||NM||
H001042||116||senate||D||HI||
H001061||116||senate||R||ND||
H001079||116||senate||R||MS||
I000024||116||senate||R||OK||
I000055||116||senate||R||GA||
J000293||116||senate||R||WI||
J000300||116||senate||D||AL||
K000384||116||senate||D||VA||
K000377||116||senate||D||AZ||
K000393||116||senate||R||LA||
K000383||116||senate||ID||ME||
K000367||116||senate||D||MN||
L000575||116||senate||R||OK||
L000174||116||senate||D||VT||
L000577||116||senate||R||UT||
L000594||116||senate||R||GA||
M001183||116||senate||D||WV||
M000133||116||senate||D||MA||
M000355||116||senate||R||KY||
M001197||116||senate||R||AZ||
M000639||116||senate||D||NJ||
M001176||116||senate||D||OR||
M000934||116||senate||R||KS||
M001153||116||senate||R||AK||
M001169||116||senate||D||CT||
M001111||116||senate||D||WA||
P000603||116||senate||R||KY||
P000612||116||senate||R||GA||
P000595||116||senate||D||MI||
P000449||116||senate||R||OH||
R000122||116||senate||D||RI||
R000584||116||senate||R||ID||
R000307||116||senate||R||KS||
R000615||116||senate||R||UT||
R000608||116||senate||D||NV||
R000605||116||senate||R||SD||
R000595||116||senate||R||FL||
S000033||116||senate||ID||VT||
S001197||116||senate||R||NE||
S001194||116||senate||D||HI||
S000148||116||senate||D||NY||
S001217||116||senate||R||FL||
S001184||116||senate||R||SC||
S001181||116||senate||D||NH||
S000320||116||senate||R||AL||
S001191||116||senate||D||AZ||
S001203||116||senate||D||MN||
S000770||116||senate||D||MI||
S001198||116||senate||R||AK||
T000464||116||senate||D||MT||
T000250||116||senate||R||SD||
T000476||116||senate||R||NC||
T000461||116||senate||R||PA||
U000039||116||senate||D||NM||
V000128||116||senate||D||MD||
W000805||116||senate||D||VA||
W000817||116||senate||D||MA||
W000802||116||senate||D||RI||
W000437||116||senate||R||MS||
W000779||116||senate||D||OR||
Y000064||116||senate||R||IN||
