member_id||firstName||middleName||lastName||birthday||gender
D000622||Tammy||||Duckworth||1968-03-12||F
D000563||Richard||J.||Durbin||1944-11-21||M
E000285||Michael||B.||Enzi||1944-02-01||M
E000295||Joni||||Ernst||1970-07-01||F
F000062||Dianne||||Feinstein||1933-06-22||F
F000463||Deb||||Fischer||1951-03-01||F
G000562||Cory||||Gardner||1974-08-22||M
G000555||Kirsten||E.||Gillibrand||1966-12-09||F
G000359||Lindsey||||Graham||1955-07-09||M
G000386||Charles||E.||Grassley||1933-09-17||M
H001075||Kamala||||Harris||1964-10-20||F
H001076||Margaret||||Hassan||1958-02-27||F
H001089||Joshua||||Hawley||1979-12-31||M
H001046||Martin||||Heinrich||1971-10-17||M
H001042||Mazie||K.||Hirono||1947-11-03||F
H001061||John||||Hoeven||1957-03-13||M
H001079||Cindy||||Hyde-Smith||1959-05-10||F
I000024||James||M.||Inhofe||1934-11-17||M
I000055||Johnny||||Isakson||1944-12-28||M
J000293||Ron||||Johnson||1955-04-08||M
J000300||Doug||||Jones||1954-05-04||M
K000384||Tim||||Kaine||1958-02-26||M
K000377||Mark||||Kelly||1964-02-21||M
K000393||John||||Kennedy||1951-11-21||M
K000383||Angus||||King||1944-03-31||M
K000367||Amy||||Klobuchar||1960-05-25||F
L000575||James||||Lankford||1968-03-04||M
L000174||Patrick||J.||Leahy||1940-03-31||M
L000577||Mike||||Lee||1971-06-04||M
L000594||Kelly||||Loeffler||1970-11-27||F
M001183||Joe||||Manchin||1947-08-24||M
M000133||Edward||J.||Markey||1946-07-11||M
M000355||Mitch||||McConnell||1942-02-20||M
M001197||Martha||||McSally||1966-03-22||F
M000639||Robert||||Menendez||1954-01-01||M
M001176||Jeff||||Merkley||1956-10-24||M
M000934||Jerry||||Moran||1954-05-29||M
M001153||Lisa||||Murkowski||1957-05-22||F
M001169||Christopher||S.||Murphy||1973-08-03||M
M001111||Patty||||Murray||1950-10-11||F
P000603||Rand||||Paul||1963-01-07||M
P000612||David||||Perdue||1949-12-10||M
P000595||Gary||||Peters||1958-12-01||M
P000449||Rob||||Portman||1955-12-19||M
R000122||Jack||||Reed||1949-11-12||M
R000584||Jim||||Risch||1943-05-03||M
R000307||Pat||||Roberts||1936-04-20||M
R000615||Mitt||||Romney||1947-03-12||M
R000608||Jacky||||Rosen||1957-08-02||F
R000605||Mike||||Rounds||1954-10-24||M
R000595||Marco||||Rubio||1971-05-28||M
S000033||Bernard||||Sanders||1941-09-08||M
S001197||Ben||||Sasse||1972-02-22||M
S001194||Brian||||Schatz||1972-10-20||M
S000148||Charles||E.||Schumer||1950-11-23||M
S001217||Rick||||Scott||1952-12-01||M
S001184||Tim||||Scott||1965-09-19||M
S001181||Jeanne||||Shaheen||1947-01-28||F
S000320||Richard||C.||Shelby||1934-05-06||M
S001191||Kyrsten||||Sinema||1976-07-12||F
S001203||Tina||||Smith||1958-03-04||F
S000770||Debbie||||Stabenow||1950-04-29||F
S001198||Dan||||Sullivan||1964-11-13||M
T000464||Jon||||Tester||1956-08-21||M
T000250||John||||Thune||1961-01-07||M
T000476||Thom||||Tillis||1960-08-30||M
T000461||Patrick||J.||Toomey||1961-11-17||M
U000039||Tom||||Udall||1948-05-18||M
V000128||Chris||||Van Hollen||1959-01-10||M
W000805||Mark||||Warner||1954-12-15||M
W000817||Elizabeth||||Warren||1949-06-22||F
W000802||Sheldon||||Whitehouse||1955-10-20||M
W000437||Roger||||Wicker||1951-07-05||M
W000779||Ron||||Wyden||1949-05-03||M
Y000064||Todd||||Young||1972-08-24||M
